id_num,page_id,class_name,x_start,y_start,x_stop,y_stop,logical_shall,logical_should,associated_with,parent_of,sibling_of,child_of,internal_reference,external_reference,text
20.0,9.0,LTTextBoxHorizontal,549.2999895,638.4343463949999,555.2999895,650.4343463949999,False,False,6.0,,,,,,7
21.0,9.0,LTTextBoxHorizontal,549.2999895,613.6843463949999,555.2999895,625.6843463949999,False,False,7.0,,,,,,8
22.0,9.0,LTTextBoxHorizontal,543.2999895,381.43434647,555.2999895,600.934347395,False,False,8.0,,,,,,"8
11
11
11
11
12
13
13
14
16
17
17
20"
23.0,9.0,LTTextBoxHorizontal,543.2999895,322.18434647,555.2999895,369.184347395,False,False,13.0,,,,,,"21
21
21"
24.0,9.0,LTTextBoxHorizontal,543.2999895,193.9343464700001,555.2999895,309.934347395,False,False,14.0,,,,,,"21
22
22
23
23
25
25"
25.0,9.0,LTTextBoxHorizontal,543.2999895,100.18434647000004,555.2999895,181.6843473950001,False,False,16.0,,,,,,"27
27
27
27
28"
35.0,78.0,LTTextBoxHorizontal,543.2999895,649.18422347,555.2999895,730.18422347,False,False,27.0,,,,,,"29
29
30
30
31"
36.0,78.0,LTTextBoxHorizontal,543.2999895,624.934224395,555.2999895,636.934224395,False,False,28.0,,,,,,32
37.0,78.0,LTTextBoxHorizontal,543.2999895,600.184224395,555.2999895,612.184224395,False,False,29.0,,,,,,33
38.0,78.0,LTTextBoxHorizontal,543.2999895,575.434227395,555.2999895,587.434227395,False,False,30.0,,,,,,34
39.0,78.0,LTTextBoxHorizontal,543.2999895,550.684227395,555.2999895,562.684227395,False,False,31.0,,,,,,36
40.0,78.0,LTTextBoxHorizontal,543.2999895,525.934227395,555.2999895,537.934227395,False,False,32.0,,,,,,37
41.0,78.0,LTTextBoxHorizontal,543.2999895,501.184227395,555.2999895,513.184227395,False,False,33.0,,,,,,39
42.0,78.0,LTTextBoxHorizontal,543.2999895,476.434227395,555.2999895,488.434227395,False,False,34.0,,,,,,40
46.0,104.0,LTTextBoxHorizontal,144.450012,682.184102175,202.76837136,694.184102175,False,False,45.0,,,,,,Initial guide
48.0,104.0,LTTextBoxHorizontal,326.44513199999994,703.184102175,370.4548976399999,715.184102175,False,False,44.0,,,,,,Changes
50.0,104.0,LTTextBoxHorizontal,144.450012,661.184102175,290.40118416,673.184102175,False,False,49.0,,,,,,Corrected dates in appendix G
58.0,107.0,LTTextBoxHorizontal,56.699997,289.986831535,549.8777343000002,344.736831535,True,False,,,,,,,"Phase one is the application phase. Teams must submit an application and a $200
competition fee that is non-refundable. The fee is used to offset the cost of rocket motors and
other materials. Applications must be submitted by October 30, 2022. Payments will be
requested in early November and must be paid by the given due date."
64.0,110.0,LTTextBoxHorizontal,56.699997,578.7368315350001,552.0808551600002,676.2368365350001,True,False,,,,,,,"Phase four is the launch weekend. Friday, teams will be scheduled to present their completed
CanSat for flight readiness review which must be completed in 30 minutes. The CanSat must
be ready to launch at this time. It must be completely assembled and operational. Each team
will be scored during the flight readiness review. Teams can only present once at the flight
readiness review at their designated time. Teams late for the review will lose points. CanSats
must pass the drop test, fit check, and battery verification in order to fly. Multiple attempts at
the drop test are allowed until the flight readiness reviews are completed."
67.0,110.0,LTTextBoxHorizontal,56.699997,407.736831535,550.2527291999999,433.986831535,True,False,,,,,,,"For teams to receive certificates of accomplishment and be considered for awards, they must
complete all phases of the competition."
77.0,112.0,LTTextBoxHorizontal,56.699997,484.236831535,546.12187314,553.2368315350001,True,False,,,,,,,"Design a Cansat that shall consist of a container and a probe. The Cansat shall be launched
to an altitude ranging from 670 meters to 725 meters above the launch site and deployed
near apogee (peak altitude). Orientation of deployment is not controlled and is very violent
with large shock forces. The Cansat must survive the forces incurred at launch and
deployment."
78.0,112.0,LTTextBoxHorizontal,56.699997,355.986831535,553.00077633,467.736831535,True,False,,,,,,,"Once the Cansat is deployed from the rocket, the Cansat shall descend using a parachute at
a rate of 15 m/s. At 500 meters, the Cansat shall release a probe that shall open a heat shield
that will also be used as an aerobraking device with a descent rate of 20 meters/second or
less. A parachute, streamer, parafoil or similar device shall not be used with the heat shield.
When the probe reaches 200 meters, the probe shall deploy a parachute and slow the
descent rate to 5 meters/second. Once the probe has landed, it shall attempt to upright itself
and raise a flag 500 mm above the probe. A video camera shall be included and point toward
the ground during descent."
84.0,114.0,LTTextBoxHorizontal,312.90118199999995,648.4868365350001,386.2488380399999,660.4868365350001,False,False,83.0,,,,,,Requirement
102.0,114.0,LTTextBoxHorizontal,146.700012,598.9868315350001,547.5867289200002,625.2368365350001,True,False,85.0,,,,,,"Total mass of the CanSat (science probe and container) shall be 700 grams
+/- 10 grams."
103.0,114.0,LTTextBoxHorizontal,146.700012,549.4868315350001,548.7175887900001,589.9868315350001,True,False,86.0,,,,,,"CanSat shall fit in a cylindrical envelope of 125 mm diameter x 400 mm
length. Tolerances are to be included to facilitate container deployment from
the rocket fairing."
104.0,114.0,LTTextBoxHorizontal,146.700012,514.2368315350001,544.94415072,540.4868315350001,True,False,87.0,,,,,,"The container shall not have any sharp edges to cause it to get stuck in the
rocket payload section which is made of cardboard."
105.0,114.0,LTTextBoxHorizontal,146.700012,493.236831535,476.8875103200001,505.236831535,True,False,88.0,,,,,,"The container shall be a fluorescent color; pink, red or orange."
106.0,114.0,LTTextBoxHorizontal,146.700012,443.736831535,546.7195466400001,484.236831535,True,False,89.0,,,,,,"The container shall be solid and fully enclose the science probes. Small
holes to allow access to turn on the science probes are allowed. The end of
the container where the probe deploys may be open."
107.0,114.0,LTTextBoxHorizontal,146.700012,408.486831535,548.9226662400001,434.736831535,True,False,90.0,,,,,,"The rocket airframe shall not be used to restrain any deployable parts of the
CanSat."
108.0,114.0,LTTextBoxHorizontal,146.700012,387.486831535,524.2429789200002,399.486831535,True,False,91.0,,,,,,The rocket airframe shall not be used as part of the CanSat operations.
109.0,114.0,LTTextBoxHorizontal,146.700012,337.986831535,550.4988389100001,378.486831535,True,False,92.0,,,,,,"The container’s parachute shall not be enclosed in the container structure. It
shall be external and attached to the container so that it opens immediately
when deployed from the rocket."
110.0,114.0,LTTextBoxHorizontal,146.700012,316.986831535,416.1843858000001,328.986831535,True,False,93.0,,,,,,The Parachute shall be fluorescent Pink or Orange
111.0,114.0,LTTextBoxHorizontal,146.700012,281.736831535,536.9402444400002,307.986831535,True,False,94.0,,,,,,"The descent rate of the CanSat (container and science probe) shall be 15
meters/second +/- 5 m/s."
112.0,114.0,LTTextBoxHorizontal,146.700012,260.736831535,392.8699326000001,272.736831535,True,False,95.0,,,,,,0 altitude reference shall be at the launch pad.
113.0,114.0,LTTextBoxHorizontal,146.700012,239.736831535,499.5398544,251.736831535,True,False,96.0,,,,,,All structures shall be built to survive 15 Gs of launch acceleration.
114.0,114.0,LTTextBoxHorizontal,146.700012,218.737321535,427.4871204,230.737321535,True,False,97.0,,,,,,All structures shall be built to survive 30 Gs of shock.
115.0,114.0,LTTextBoxHorizontal,146.700012,183.487321535,539.3425929000001,209.737321535,True,False,98.0,,,,,,"All electronics and mechanical components shall be hard mounted using
proper mounts such as standoffs, screws, or high performance adhesives."
116.0,114.0,LTTextBoxHorizontal,146.700012,148.237321535,546.9129009600001,174.487321535,True,False,99.0,,,,,,"All mechanisms shall be capable of maintaining their configuration or states
under all forces."
117.0,114.0,LTTextBoxHorizontal,146.700012,127.237321535,429.48516720000015,139.237321535,True,False,100.0,,,,,,Mechanisms shall not use pyrotechnics or chemicals.
