id_num,page_id,class_name,x_start,y_start,x_stop,y_stop,logical_shall,logical_should,associated_with,parent_of,sibling_of,child_of,internal_reference,external_reference,text,categorized,itemized,relational,referenced
,,,,,,,,,,,,,,,,,,,
0,2,LTTextBoxHorizontal,120.24848400000002,388.65811550369136,491.7550148638477,458.90811650369136,false,false,,,,,,,"CanSat Competition Guide
2023",,,,
1,2,LTTextBoxHorizontal,82.80457125000001,273.9081455036914,528.6215563861524,305.9081465036914,false,false,,,,,,,Planetary Probe Lander Mission,,,,
2,2,LTTextBoxHorizontal,258.24462450000004,192.12649450250004,353.75536662,231.87649450250004,false,false,,,,,,,"Rev 1.0a
June 9, 2022",,,,
3,2,LTTextBoxHorizontal,549.2999895,66.13429717499999,555.2999895,78.134297175,false,false,,,,,,,1,,,,
4,9,LTTextBoxHorizontal,56.699997,697.6843463949999,190.59113724307616,732.5494247790429,false,false,,,,,,,"Table of Contents
1. Introduction",,,,
5,9,LTTextBoxHorizontal,74.699997,662.6843454699999,211.6863252,691.9343454699999,false,false,,,,,,,"1.1 Competition Description
1.2 Team Selection",,,,
6,9,LTTextBoxHorizontal,56.699997,638.4343463949999,161.02030968000003,650.4343463949999,false,false,,,,,,,2. Mission Overview,,,,
7,9,LTTextBoxHorizontal,56.699997,613.6843463949999,140.47148178,625.6843463949999,false,false,,,,,,,3. Requirements,,,,
8,9,LTTextBoxHorizontal,56.699997,536.68434647,344.81718539999997,600.934347395,false,false,,,,,,,"3.1 Base Requirements
3.11 Suggestions
3.2 Selectable Bonus Objective
3.3 Telemetry, Command, and Simulation Requirements",,,,
9,9,LTTextBoxHorizontal,92.699997,519.43434647,167.95195056,531.43434647,false,false,,,,,,,3.3.1 Telemetry,,,,
10,9,LTTextBoxHorizontal,110.699997,467.68434647,283.59257556,514.18434647,false,false,,,,,,,"3.3.1.1 Telemetry Formats
3.3.1.2 Telemetry Data Files
3.3.2.3 On-board Telemetry Storage",,,,
11,9,LTTextBoxHorizontal,92.699997,433.18434647,203.36601264000004,462.43434647,false,false,,,,,,,"3.3.2 Commands
3.3.3 Simulation Mode",,,,
12,9,LTTextBoxHorizontal,74.699997,381.43434647,258.98905992,427.93434647,false,false,,,,,,,"3.4 Banned Materials and components
3.5 Environmental Tests
3.6 COVID-19 Safety Plan",,,,
13,9,LTTextBoxHorizontal,56.699997,322.18434647,169.69804389,369.184347395,false,false,,,,,,,"4. Team Composition
4.1 Team Size
4.2 Faculty Advisor",,,,
14,9,LTTextBoxHorizontal,56.699997,297.934347395,159.00468468,309.934347395,false,false,,,,,,,5. Deliverable Items,,,,
15,9,LTTextBoxHorizontal,74.699997,193.93434647000007,289.67460659999995,292.18434647,false,false,,,,,,,"5.1 Preliminary Design Review
5.2 Critical Design Review
5.3 Post Flight Review
5.4 Deliverable Submissions and Scheduling
5.5 Slide Format Guidelines
5.6 Disqualification Guidelines",,,,
16,9,LTTextBoxHorizontal,56.699997,134.68434647000007,212.68827852,181.68434739500006,false,false,,,,,,,"6. Launch Weekend
6.1 Schedule
6.2 Flight Readiness Review",,,,
17,9,LTTextBoxHorizontal,92.699997,117.43434647000005,240.01640340000003,129.43434647000007,false,false,,,,,,,6.2.1 FRR Sequence of Events,,,,
18,9,LTTextBoxHorizontal,74.699997,100.18434647000005,350.5828119,112.18434647000007,false,false,,,,,,,6.3 Team Member Launch Operations Crew Assignments,,,,
19,9,LTTextBoxHorizontal,549.2999895,662.6843454699999,555.2999895,709.6843463949999,false,false,,,,,,,"5
5
6",,,,
20,9,LTTextBoxHorizontal,549.2999895,638.4343463949999,555.2999895,650.4343463949999,false,false,,,,,,,7,,,,
21,9,LTTextBoxHorizontal,549.2999895,613.6843463949999,555.2999895,625.6843463949999,false,false,,,,,,,8,,,,
22,9,LTTextBoxHorizontal,543.2999895,381.43434647,555.2999895,600.934347395,false,false,,,,,,,"8
11
11
11
11
12
13
13
14
16
17
17
20",,,,
23,9,LTTextBoxHorizontal,543.2999895,322.18434647,555.2999895,369.184347395,false,false,,,,,,,"21
21
21",,,,
24,9,LTTextBoxHorizontal,543.2999895,193.93434647000007,555.2999895,309.934347395,false,false,,,,,,,"21
22
22
23
23
25
25",,,,
25,9,LTTextBoxHorizontal,543.2999895,100.18434647000005,555.2999895,181.68434739500006,false,false,,,,,,,"27
27
27
27
28",,,,
26,9,LTTextBoxHorizontal,549.2999895,66.13429717499999,555.2999895,78.134297175,false,false,,,,,,,2,,,,
27,78,LTTextBoxHorizontal,74.699997,649.18422347,326.3132785199999,730.18422347,false,false,,,,,,,"6.4 Mission Operations Manual
6.5 Launch Schedule
6.6 Competition Operations and Sequence of Events
6.7 Second Flight Rules
6.8 Weather Delays",,,,
28,78,LTTextBoxHorizontal,56.699997,624.934224395,212.72343441,636.934224395,false,false,,,,,,,Appendix A Field Safety Rules,,,,
29,78,LTTextBoxHorizontal,56.699997,600.184224395,285.81913755,612.184224395,false,false,,,,,,,Appendix B  Presentation Recommendations,,,,
30,78,LTTextBoxHorizontal,56.699997,575.434227395,290.04374676,587.434227395,false,false,,,,,,,Appendix C Payload Deployment Description,,,,
31,78,LTTextBoxHorizontal,56.699997,550.684227395,173.16679422,562.684227395,false,false,,,,,,,Appendix D Acronyms,,,,
32,78,LTTextBoxHorizontal,56.699997,525.934227395,176.72929368000004,537.934227395,false,false,,,,,,,Appendix E Definitions,,,,
33,78,LTTextBoxHorizontal,56.699997,501.184227395,210.2742156,513.184227395,false,false,,,,,,,Appendix F – Payload Section,,,,
34,78,LTTextBoxHorizontal,56.699997,476.434227395,244.04765292000002,488.434227395,false,false,,,,,,,Appendix G - Competition Calendar,,,,
35,78,LTTextBoxHorizontal,543.2999895,649.18422347,555.2999895,730.18422347,false,false,,,,,,,"29
29
30
30
31",,,,
36,78,LTTextBoxHorizontal,543.2999895,624.934224395,555.2999895,636.934224395,false,false,,,,,,,32,,,,
37,78,LTTextBoxHorizontal,543.2999895,600.184224395,555.2999895,612.184224395,false,false,,,,,,,33,,,,
38,78,LTTextBoxHorizontal,543.2999895,575.434227395,555.2999895,587.434227395,false,false,,,,,,,34,,,,
39,78,LTTextBoxHorizontal,543.2999895,550.684227395,555.2999895,562.684227395,false,false,,,,,,,36,,,,
40,78,LTTextBoxHorizontal,543.2999895,525.934227395,555.2999895,537.934227395,false,false,,,,,,,37,,,,
41,78,LTTextBoxHorizontal,543.2999895,501.184227395,555.2999895,513.184227395,false,false,,,,,,,39,,,,
42,78,LTTextBoxHorizontal,543.2999895,476.434227395,555.2999895,488.434227395,false,false,,,,,,,40,,,,
43,78,LTTextBoxHorizontal,549.2999895,66.13429717499999,555.2999895,78.134297175,false,false,,,,,,,3,,,,
44,104,LTTextBoxHorizontal,87.08085675000001,703.184102175,111.06913803,715.184102175,false,false,,,,,,,Date,,,,
45,104,LTTextBoxHorizontal,74.74101300000001,682.184102175,123.40898172000001,694.184102175,false,false,,,,,,,6/09/2022,,,,
