id_num,page_id,class_name,x_start,y_start,x_stop,y_stop,logical_shall,logical_should,associated_with,parent_of,sibling_of,child_of,internal_reference,external_reference,text
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0,2,LTTextBoxHorizontal,122.91970649999999,345.1581455036914,489.0837625138477,415.40811650369136,false,false,,,,,,,"Cansat Competition Guide
2024"
1,2,LTTextBoxHorizontal,113.47676849999999,230.40817550369147,498.52582722800776,300.6581465036914,false,false,,,,,,,"Planetary Probe Instrument
Delivery Mission"
2,2,LTTextBoxHorizontal,256.2451095,148.62649450250004,355.754877,188.37649450250004,false,false,,,,,,,"Rev 1.0a
Aug 10, 2023"
3,2,LTTextBoxHorizontal,548.6261595000001,66.18703153499999,555.2999875800001,78.18703153499999,false,false,,,,,,,1
4,9,LTTextBoxHorizontal,56.699997,94.93434647000005,555.2999895,732.5494247790429,false,false,,,,,,,"Table of Contents
1. Introduction.......................................................................................................................................... 5
1.1 Competition Description................................................................................................................ 5
1.2 Team Selection............................................................................................................................... 6
2. Mission Overview................................................................................................................................. 7
3. Requirements........................................................................................................................................8
............................................................................................................................................................13
3.1 Suggestions.................................................................................................................................. 14
3.2 Selectable Bonus Objective......................................................................................................... 14
3.3 Telemetry, Command, and Simulation Requirements..................................................................14
3.3.1 Telemetry.............................................................................................................................14
3.3.1.1 Telemetry Formats..................................................................................................... 14
3.3.1.2 Telemetry Data Files.................................................................................................. 16
3.3.2.3 On-board Telemetry Storage...................................................................................... 16
3.3.2 Commands.......................................................................................................................... 16
3.3.3 Simulation Mode.................................................................................................................18
3.4 Banned Materials and components.............................................................................................. 19
3.5 Environmental Tests.....................................................................................................................20
4. Team Composition..............................................................................................................................23
4.1 Team Size..................................................................................................................................... 23
4.2 Faculty Advisor............................................................................................................................23
5. Deliverable Items................................................................................................................................23
5.1 Preliminary Design Review......................................................................................................... 24
5.2 Critical Design Review................................................................................................................ 24
5.3 Post Flight Review....................................................................................................................... 25
5.4 Deliverable Submissions and Scheduling.................................................................................... 25
5.5 Slide Format Guidelines...............................................................................................................27
5.6 Disqualification Guidelines..........................................................................................................27
6. Launch Weekend............................................................................................................................ 28
6.1 Schedule....................................................................................................................................... 28
............................................................................................................................................................28
6.2 Flight Readiness Review..............................................................................................................28
......................................................................................................................................................28
6.2.1 FRR Sequence of Events.....................................................................................................28
6.3 Team Member Launch Operations Crew Assignments............................................................... 29
6.4 Mission Operations Manual......................................................................................................... 30
6.5 Launch Schedule.......................................................................................................................... 30"
5,9,LTTextBoxHorizontal,548.6261595000001,66.18703153499999,555.2999875800001,78.18703153499999,false,false,,,,,,,2
6,49,LTTextBoxHorizontal,56.699997,562.93422647,555.2999895,730.18422347,false,false,,,,,,,"6.6 Competition Operations and Sequence of Events........................................................................31
6.7 Second Flight Rules..................................................................................................................... 31
6.8 Weather Delays............................................................................................................................ 32
Appendix A Field Safety Rules............................................................................................................. 33
Appendix B Presentation Recommendations..................................................................................... 34
Appendix C Payload Deployment Description.................................................................................... 35
Appendix D Acronyms...........................................................................................................................37
Appendix E Definitions..........................................................................................................................38
Appendix F – Payload Section............................................................................................................. 4 0
Appendix G - Competition Calendar................................................................................................... 43"
7,49,LTTextBoxHorizontal,548.6261595000001,66.18703153499999,555.2999875800001,78.18703153499999,false,false,,,,,,,3
